,Species,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes
111,2.0,1.0,35.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,72.0,12.0,22.0459142394822,44.0918284789644,1.0,0.2,0.0,30.0,3.5,1.0,0.0,0.0,0.0,0.0
135,2.0,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,96.0,12.0,22.0459142394822,44.0918284789644,1.0,0.3,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
148,2.0,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,48.0,13.0,24.0,20.0,1.0,0.0,0.0,30.0,5.5,2.0,0.0,0.0,0.0,0.0
186,2.0,1.0,29.4,2805.0,15.58,3.0,5.8,1988.0,10.35,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,72.0,12.0,22.0459142394822,44.0918284789644,5.0,0.0,0.0,30.0,7.4,1.0,0.0,0.0,0.0,0.0
354,2.0,1.0,40.0,2805.0,15.58,1.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,72.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,25.0,3.73,2.0,0.0,0.0,0.0,0.0
132,2.0,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,24.0,12.0,22.0459142394822,44.0918284789644,1.0,0.3,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
129,2.0,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,96.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
310,2.0,2.0,0.0,1660.45,18.0,1.0,60.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,142.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
317,2.0,1.0,0.0,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,7.4,2.0,0.0,0.0,0.0,0.0
257,2.0,2.0,0.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
