,Product titer (g/L)
203,12.4
149,1.43
105,0.62
134,3.3
261,5.9
45,1.28
345,1.02
376,0.00078367
406,4.516
359,2.0
326,0.0096
78,1.81
5,7.1
200,3.37
332,20.8
240,4.0
101,0.63
217,11.68
316,17.2
53,1.63
361,2.4
67,8.6
56,1.56
299,8.3
252,2.71
77,0.99
144,0.0025
394,5.113
15,6.769
401,5.098
281,3.63
229,9.4
94,39.5
48,2.44
7,9.5
163,7.16
110,28.8
243,3.8
4,8.4
74,2.01
52,2.82
36,5.1
367,0.00084877
338,1.5
157,3.99
85,0.42
384,0.0008692799999999999
181,8.8
199,4.12
222,12.04
355,0.78
315,3.0
80,0.22
294,9.0
40,2.8
319,14.3
259,13.6
57,1.56
311,37.8
49,2.41
403,4.474
183,8.7
397,4.236
62,5.8
305,2.8000000000000003
271,2.44
370,0.0009786699999999998
88,3.03
178,10.3
138,2.6
63,7.4
204,14.5
21,4.96
270,1.04
237,5.4
118,4.1
107,20.160000000000004
115,2.8
263,5.3
116,1.8
185,0.25
197,4.72
155,6.49
26,4.78
61,5.1
282,10.3
75,0.25
82,0.66
368,0.00199026
176,0.02746
246,2.5
100,89.4
269,1.31
234,5.74
244,3.6
117,4.9
404,4.724
37,5.3
224,0.002
353,17.0
291,10.1
112,1.62
24,5.32
50,2.33
339,9.4
388,0.0015951199999999998
337,8.1
219,12.78
72,0.36
136,7.3
14,7.769
215,16.45
395,5.403
351,3.5
11,6.5
302,4.9
273,0.639
140,0.0074
365,18.69
402,4.943
385,0.00114632
122,4.8
196,3.18
127,2.19
381,0.00099146
205,14.7
225,16.2
18,1.761
187,3.45
188,4.29
399,4.071
1,0.021
409,4.729
198,3.61
174,7.56
241,5.8
414,0.0
86,2.22
276,0.94
145,0.0043
43,23.6
306,8.0
79,2.05
64,7.2
267,0.68
314,3.4
330,17.2
372,0.0009609
245,3.1
87,2.89
295,2.1
280,0.94
98,18.0
411,2.777
227,2.0
296,8.7
318,23.7
76,2.11
253,5.59
12,9.1
58,1.56
293,12.5
350,4.6
247,3.1
336,1.0
393,4.556
97,27.4
8,16.4
71,0.24
284,15.32
172,9.93
130,2.08
128,3.4
218,16.48
307,5.5
329,28.5
208,12.25
209,15.64
346,0.96
238,9.1
20,4.88
180,8.4
73,0.22
19,0.924
146,0.0197
23,5.82
278,1.58
232,9.5
143,0.0125
131,4.9
168,5.58
2,0.0346
239,3.4
175,24.83
230,8.9
161,5.07
59,4.8
373,0.00100545
221,11.19
213,12.86
165,6.24
362,4.62
250,8.23
390,0.00036563000000000003
378,0.0008895700000000001
60,5.0
265,9.19
236,10.98
10,7.1
268,0.84
413,0.0
256,14.9
32,0.01248
41,8.1
286,10.14
166,6.47
34,4.9
331,27.9
371,0.0007871200000000001
141,0.007
16,4.638
320,19.9
342,0.00335
333,19.9
133,5.1
392,3.71
363,3.36
303,4.3
13,7.5
341,0.0049900000000000005
47,2.05
412,0.0
126,20.5
386,0.0019902599999999998
119,3.3
194,1.15
228,6.1
125,10.1
137,6.12
277,2.5
377,0.00088734
33,0.02001
160,1.23
202,5.83
212,10.57
55,2.48
173,11.2
405,4.254
380,0.0011648399999999999
335,7.6
289,10.43
114,2.9
83,3.28
249,2.8
366,0.00036563
255,15.2
297,7.1
54,1.97
38,5.4
147,0.002
108,23.76
360,6.5
279,2.9
65,7.1
235,5.47
308,32.39
364,13.86
248,3.6
347,1.2000000000000002
352,3.6
348,1.26
304,3.5000000000000004
69,10.1
301,7.7
398,3.845
379,0.0010955599999999998
374,0.00119123
264,5.4
298,3.7
156,6.05
201,3.83
124,9.5
300,2.3
30,0.01683
162,6.95
70,7.9
0,0.02764
358,5.8
327,0.013099999999999999
274,0.3
153,3.98
288,4.29
17,2.436
391,4.737
151,3.24
84,0.68
102,1.24
396,3.855
375,0.00088465
35,5.4
189,4.93
309,15.2
207,7.43
92,5.0
171,5.89
231,19.7
139,13.77
254,14.2
104,0.71
6,14.5
66,8.0
170,6.2
211,7.02
9,9.5
258,15.3
410,4.563
192,3.12
93,34.8
27,4.52
389,0.00079106
142,0.0036
81,0.46
260,14.0
42,14.2
324,0.010199999999999999
233,13.0
190,3.97
46,1.67
39,6.7
313,4.6
206,3.16
290,20.6
