,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes
1302,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,168.0,12.0,23.4,46.9,1.0,0.05,3.0,28.0,0.0,2.0,3.0,0.0,1.0,3.0
4057,10.0,200.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,4.0,5.0,1.0,29.0,5.0,1.0,0.0,0.0,0.0,0.0
4137,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,24.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,4.5,2.0,0.0,0.0,0.0,0.0
1997,4.0,3.0,874.0,14.55,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.1,3.0,28.0,8.0,2.0,0.0,0.0,0.0,0.0
2969,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.002,2.0,30.0,0.0,1.0,1.0,1.0,1.0,0.0
2082,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,813.0,10.0,18.0,1.0,154.0,72.0,9.0,6.0,4.0,1.0,0.05,3.0,30.0,0.0,2.0,2.0,0.0,2.0,1.0
4410,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,409.1,8.0,10.0,1.0,122.17,120.0,3.0,2.0,0.0,1.0,0.03,1.0,30.0,0.0,3.0,17.0,5.0,0.0,13.0
3800,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
4586,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,164.0,3.0,8.0,0.0,60.1,72.0,0.0,0.0,0.0,1.0,0.05,3.0,30.0,5.89,3.0,3.0,0.0,4.0,0.0
3306,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-797.0,6.0,3.0,6.0,171.0,96.0,1.0,0.0,0.0,1.0,0.05,3.0,30.0,7.0,3.0,1.0,0.0,0.0,1.0
2386,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
691,2.5,100.65,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,72.0,0.0,0.0,0.0,2.0,1.0,3.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0
2798,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,72.0,2.0,0.0,-1.0,1.0,0.05,2.0,28.0,4.3,1.0,0.0,0.0,0.0,0.0
2535,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3687.0,40.0,56.0,0.0,536.0,168.0,12.0,24.0,20.0,1.0,0.05,2.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
1989,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,-109.6,21.0,32.0,2.0,316.0,168.0,28.0,18.0,31.0,1.0,0.05,3.0,28.0,0.0,2.0,4.0,1.0,1.0,4.0
788,2.0,30.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,96.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0
734,2.0,150.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-670.0,4.0,6.0,5.0,134.0,380.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,5.5,2.0,0.0,0.0,0.0,0.0
502,7.0,30.0,2342.2,16.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,144.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.8,1.0,11.0,7.0,3.0,2.0
3711,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,84.0,0.0,0.0,0.0,2.0,1.5,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
4277,43.0,43.6,34734.5,17.9,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,48.0,0.0,0.0,0.0,1.0,0.1,1.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0
3860,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,29.5,5.25,1.0,0.0,0.0,0.0,0.0
2797,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,72.0,2.0,0.0,-1.0,1.0,0.05,2.0,28.0,4.3,1.0,0.0,0.0,0.0,0.0
1737,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,841.0,10.0,16.0,0.0,136.0,120.0,9.0,6.0,4.0,1.0,0.03,3.0,30.0,7.5,2.0,1.0,0.0,1.0,1.0
1278,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,387.2,30.0,50.0,2.0,442.0,168.0,13.0,18.0,15.0,1.0,0.05,3.0,28.0,0.0,2.0,3.0,0.0,1.0,3.0
242,8.0,100.0,2810.4,16.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,120.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.8,1.0,0.0,0.0,0.0,0.0
2877,8.0,100.0,2810.4,16.0,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,230.0,2.0,0.0,1.0,2.0,2.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,1.0
590,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,207.2,15.0,24.0,0.0,204.0,120.0,10.0,9.0,6.0,1.0,0.03,3.0,30.0,0.0,2.0,3.0,0.0,2.0,3.0
2280,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,2.0,6.0
1194,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,-245.8,30.0,48.0,3.0,456.0,72.0,13.0,18.0,17.0,1.0,0.03,3.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
3011,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,1267.9,18.0,30.0,2.0,278.0,121.0,10.0,8.0,17.0,1.0,0.05,2.0,28.0,0.0,2.0,2.0,1.0,1.0,1.0
3497,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,96.0,2.0,0.0,0.0,1.0,0.01,2.0,30.0,0.0,3.0,0.0,1.0,0.0,0.0
3116,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,262.5,14.0,12.0,3.0,228.0,72.0,10.0,5.0,1.0,5.0,0.003,1.0,30.0,6.0,3.0,6.0,1.0,6.0,1.0
3467,1.0,50.0,2805.0,15.58,8.0,50.0,2810.4,16.0,7.0,-333.1,6.0,14.0,6.0,182.0,132.0,2.0,0.0,1.0,2.0,2.0,1.0,28.0,0.0,1.0,2.0,0.0,0.0,3.0
1028,2.5,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
3846,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,29.5,5.25,1.0,0.0,0.0,0.0,0.0
623,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,36.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.0,1.0,0.0,0.0,1.0,1.0
3515,6.0,20.0,1367.6,29.69,46.0,1e-07,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,2.0,0.0,0.0,0.0,0.0
3898,2.0,200.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,120.0,2.0,0.0,-1.0,1.0,0.05,1.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0
