,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes,plot
1302,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.3652173913043478,0.42857142857142855,0.9749999999999999,1.0,0.0,0.00038850038850038855,1.0,0.7999999999999999,0.0,0.6666666666666666,0.13636363636363635,0.0,0.06666666666666667,0.1875,2.0
4057,0.20930232558139533,0.1610305958132045,0.32269915847859026,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.056672834861825644,0.12820512820512822,0.11406423034330013,0.3333333333333333,0.2207657813038979,0.3130434782608696,0.0,0.0,0.020876826722338204,0.75,0.038850038850038855,0.0,0.8285714285714285,0.4854368932038835,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
4137,0.023255813953488372,0.08051529790660225,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,1.0,0.23744840067511236,0.0,0.0,0.024285714285714285,0.0,0.052173913043478265,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.4368932038834951,0.6666666666666666,0.0,0.0,0.0,0.0,10.0
1997,0.06976744186046512,0.0024154589371980675,0.0,0.24480712166172106,0.0,0.0,0.0,0.0,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.1565217391304348,0.42857142857142855,0.9749999999999999,1.0,0.0,0.0007770007770007771,1.0,0.7999999999999999,0.7766990291262136,0.6666666666666666,0.0,0.0,0.0,0.0,2.0
2969,0.0,0.0644122383252818,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.1565217391304348,0.42857142857142855,0.9749999999999999,1.0,0.0,1.5540015540015543e-05,0.5,0.8571428571428571,0.0,0.3333333333333333,0.045454545454545456,0.1111111111111111,0.06666666666666667,0.0,2.0
2082,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.2222222222222222,0.41558045427740614,0.23076923076923075,0.2986341823551126,0.047619047619047616,0.1770725537541681,0.1565217391304348,0.3214285714285714,0.25,0.10438413361169102,0.0,0.00038850038850038855,1.0,0.8571428571428571,0.0,0.6666666666666666,0.09090909090909091,0.0,0.13333333333333333,0.0625,3.0
4410,0.0,0.0322061191626409,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.4444444444444445,0.3334485633527869,0.1794871794871795,0.1509782207456626,0.047619047619047616,0.14047372657238127,0.2608695652173913,0.10714285714285714,0.08333333333333333,0.020876826722338204,0.0,0.00023310023310023313,0.0,0.8571428571428571,0.0,1.0,0.7727272727272727,0.5555555555555556,0.0,0.8125,5.0
3800,0.0,0.04911433172302738,0.018402920069761457,0.2753709198813056,0.15217391304347827,0.19833333333333333,0.20923945398132776,0.41025641025641024,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.10434782608695653,0.42857142857142855,0.9749999999999999,1.0,1.0,3.885003885003886e-06,0.0,0.7999999999999999,0.5825242718446602,0.3333333333333333,0.0,0.0,0.0,0.0,2.0
4586,0.0,0.05636070853462158,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.5555555555555556,0.28360819082091226,0.05128205128205129,0.11406423034330013,0.0,0.06910428883523054,0.1565217391304348,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,1.0,0.8571428571428571,0.5718446601941747,1.0,0.13636363636363635,0.0,0.26666666666666666,0.0,6.0
3306,0.0,0.08051529790660225,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.0,0.08819163430058768,0.12820512820512822,0.021779254337393875,0.2857142857142857,0.19661952397378404,0.20869565217391306,0.03571428571428571,0.0,0.020876826722338204,0.0,0.00038850038850038855,1.0,0.8571428571428571,0.6796116504854369,1.0,0.045454545454545456,0.0,0.0,0.0625,1.0
