,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes
369,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,2.0,4.0,0.0,5.0,1.0
108,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,6.0,0.0,2.0,5.0
3519,6.0,20.0,1367.6,29.69,46.0,5e-07,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,2.0,0.0,0.0,0.0,0.0
1654,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,8.0,-296.2,12.0,16.0,7.0,272.0,144.0,8.0,2.0,2.0,1.0,0.03,3.0,30.0,0.0,2.0,4.0,0.0,2.0,3.0
204,7.0,40.0,2342.2,16.0,0.0,0.0,0.0,0.0,4.0,-444.9,30.0,52.0,3.0,460.0,96.0,13.0,18.0,15.0,1.0,0.05,3.0,30.0,0.0,2.0,3.0,1.0,1.0,2.0
3404,2.0,32.6,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,24.0,0.0,0.0,0.0,2.0,0.4,3.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0
1565,10.0,40.7,34734.5,40.0,0.0,0.0,0.0,0.0,4.0,1485.5,28.0,48.0,1.0,400.0,96.0,25.0,18.0,31.0,1.0,0.05,3.0,28.0,0.0,2.0,1.0,1.0,1.0,1.0
4117,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-287.6,16.57,31.59,2.0,262.43,24.0,10.0,3.7143993700533,7.4287987401067,1.0,0.005,3.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0
958,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,48.0,0.0,0.0,0.0,1.0,0.05,3.0,28.0,0.0,2.0,0.0,1.0,0.0,0.0
3712,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,10.0,-63.0,1.0,1.82,0.51,0.0,48.0,0.0,0.0,0.0,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
817,2.0,30.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,96.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.0,1.0,0.0,1.0,0.0,0.0
2861,8.0,100.0,2810.4,16.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,230.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,1.0
1333,1.0,90.0,2805.0,15.58,2.0,0.05,1660.0,18.0,2.0,-203.2,17.6,33.8,2.0,869.7,120.0,12.0,23.4,46.9,1.0,0.01,1.0,30.0,4.5,1.0,2.0,1.0,2.0,0.0
410,1.0,20.0,2805.0,15.58,4.0,13.7,874.0,14.55,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,1.0,4.0,0.0,5.0,1.0
1151,1.0,90.0,2805.0,15.58,2.0,0.05,1660.45,18.0,1.0,-952.0,6.0,8.0,7.0,192.0,120.0,0.0,0.0,0.0,1.0,0.01,1.0,30.0,4.5,1.0,2.0,3.0,0.0,0.0
2001,4.0,30.0,874.0,14.55,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,360.0,12.0,23.4,46.9,1.0,0.1,3.0,28.0,7.0,1.0,0.0,0.0,0.0,0.0
427,3.0,21.3,1988.0,10.35,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,2.0,28.0,0.0,2.0,0.0,0.0,1.0,1.0
1535,10.0,100.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,188.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,3.5,3.0,0.0,0.0,0.0,0.0
