,Product titer (g/L)
1302,0.81
4057,28.0
4137,3.0
1997,0.8
2969,1.09846153846154
2082,0.00084
4410,0.19172
3800,1.3
4586,0.2519
3306,0.01
2386,0.00882
691,27.5
2798,42.56
2535,0.00176
1989,0.0142
788,6.2
734,16.3
502,3.44
3711,10.0
4277,6.9
3860,1.3
2797,40.1
1737,0.000121527011258633
1278,0.045
242,2.47
2877,5.2
590,0.0109
2280,0.00307
1194,0.0048
3011,0.31
3497,0.033
3116,0.37510000000000004
3467,18.03
1028,2.34
3846,3.31
623,0.3588
3515,1.0
3898,98.4
3336,0.01
4092,18.4
1242,0.0
4151,19.0
3225,0.93
1842,0.092
3440,3.61
4601,0.1533
3589,6.25
4646,0.1751
2639,0.4
1124,0.0478
1454,4.0
110,0.021
2720,8.1
3071,4.59
2775,11.9
1226,0.061
2971,6.0
1282,0.06
4034,46.23
4547,41.0
2434,0.06311
1948,0.01
2117,0.0
1658,20.94
3679,51.9
274,6.15
2504,3.6
1442,0.5644
4381,4.0
4203,10.2
1022,7.3
2803,67.0
2398,7e-05
2576,0.01114
3328,0.01
2610,1.0
2327,0.00811
3884,4.32
3819,63.0
1930,0.51
1260,0.045
326,0.825
3452,8.47
4499,3.8
1103,0.0288
3669,27.3
1097,0.0299
1065,4.0
1993,0.4
1317,0.0005
865,2.54
3768,1.5
438,0.2
3597,5.8
1615,0.28
2714,8.9
3970,46.9
2909,0.00419
336,2.1
833,0.096
3229,0.67
546,0.5829
2079,0.00043
952,3.02
1114,0.045
4173,8.16
1037,1.3
3181,0.1681
3039,0.015
3177,0.1079
3183,36.0
3135,1.8
582,0.0
1640,0.5644
2392,0.0002
1365,2.21
2682,73.0
3332,0.009
1719,0.35
2254,0.22191
2532,1.62
3929,6.94
1682,1.96
395,1.7
2410,0.02217
4006,4.52
1463,6.02
488,3.46
3057,0.322
477,1.0
2152,0.00038
2238,0.01055
587,0.0078
2072,0.0083
3771,2.5
2955,5.0
267,1.26
1021,1.3
2646,1.5
831,0.017
2732,45.0
1708,1.25
1875,0.0
940,11.81
4525,3.61
3448,7.87
1876,0.0075
979,1.4
2104,0.027
55,0.2933
2506,0.1365
3792,2.3
3964,34.8
1783,0.0011088
4136,4.0
1998,0.7
2560,0.03451
2076,0.014
2612,0.0099
3713,13.6
4581,0.08558199999999999
3494,78.1
3561,0.865
3459,3.02
632,0.26
2856,4.0
3583,3.91
87,0.65
2942,4.1
4201,13.11
3601,5.795
3776,3.4
3870,2.9
2140,0.00209
439,0.18
3394,2.3
3354,0.547
149,0.007
3856,3.75
3541,3.3
1,55.0
2528,2.0
506,20.1
370,1.6
1766,0.000509
2665,190.0
3383,12.04
1001,2.1
2885,10.5
3956,0.13
1784,0.00027
983,4.1
1429,8.4
3352,0.187
4610,14.9
2201,0.01791
2078,0.00052
3885,6.28
4111,0.0004
3074,0.41
1513,48.1
1343,0.4787
4503,10.2
3110,0.00020999999999999998
2313,0.00221
2050,0.0062
949,16.84
3324,0.368
4511,1.08
4478,12.28
2538,0.00182
4368,4.8
4293,12.8
58,0.3
203,0.08045
964,0.0
1814,0.02
2175,0.01801
397,1.6
3106,0.2
221,2.99
4065,6.9
4067,7.6
4164,6.4
3639,0.217
1474,6.7
1059,4.8
1818,0.0088
3764,2.1
1516,51.3
99,0.88
15,2.5
98,0.41
3483,5.0
1922,2.1624
821,7.0
3853,2.93
2473,0.03999
1414,6.1
2924,4.0
4269,1.5
953,3.17
3006,0.627692307692308
2456,0.05142
4458,9.7
2493,0.06049
310,0.57
1067,1.8
1525,2.0
3627,0.0
4141,12.0
3398,0.0
156,0.04
2374,0.01473
3814,7.92
2094,0.00445
2016,4.36
2599,0.3744
323,0.375
4170,46.2
3896,110.7
2848,9.4
314,0.57
4397,4.17
4643,0.0046
4302,12.1
4209,17.85
3082,0.85
850,10.6
1170,10.4
4043,127.0
2401,0.0
180,0.08227
1461,4.0
2622,0.0
2922,3.49
1575,25.0
2426,0.05158
3703,50.0
3592,5.4
4128,16.76
3666,34.02
1335,3.3284
380,4.1
537,1.1745
3196,17.63
3053,0.002
3262,79.4
726,0.0
4331,11.1
3537,1.95
2595,0.371
1985,0.00016
1514,55.7
4438,12.5
292,0.022
2220,0.05196
1701,1.73
3857,2.9
3302,0.01
3206,2.93
1887,0.1181
2302,0.01457
1086,0.0052
4124,115.0
2679,69.0
668,0.44
1455,3.9
791,5.7
2788,9.5
2987,2.09230769230769
718,7.1
653,5.0
2613,0.0026
223,0.36
2650,0.0215
787,10.8
913,32.5
736,2.9
4673,0.00278
227,70.0
583,0.0456
1214,0.00195
3765,4.5
2322,0.00648
3296,0.091
4335,2.4
3697,52.1
3215,2.96
3978,3.2
1026,6.41
1245,0.0
1080,7.2
1585,26.0
897,12.05
3825,3.68
3442,0.78
905,22.54
1031,4.51
3138,18.6
2794,25.38
2815,4.5
284,0.0165
2319,0.0187
2106,0.068
737,8.4
1945,0.015
393,2.2
3919,0.20249999999999999
2053,0.0092
4177,0.95
1504,70.8
2318,0.01561
3632,6.8
1612,0.5
218,0.54
1160,1.0
2084,0.00144
4378,1.33
3892,20.9
3505,1.2
951,0.02
4360,0.87
3193,9.21
1629,1.96
1924,14.0917
1900,126.9
624,0.5229
912,37.0
2191,0.00469
1373,4.7
2134,0.0185
2234,0.01647
4623,0.01509
1003,3.0
396,2.7
449,0.79
1961,0.145
4226,21.03
4284,1.7
2253,0.16332
4484,11.81
3876,6.66
2686,114.3
3412,14.52
170,0.08785
3676,30.9
2342,0.02979
4178,0.99
4557,23.38
3700,50.7
3162,0.0194
3848,4.48
3105,0.539
2711,8.2
2232,0.02863
2587,0.075
3868,5.0
1515,44.7
2569,0.002
507,7.8
3164,36.0
2850,5.6
599,0.0
2919,0.0
3024,1.59
3554,0.238
3573,4.0
3132,2.8
49,0.04
1295,1.1
1029,2.15
4650,0.6321
1908,0.137
199,0.13521
3313,0.573
320,0.566
3907,82.16
1981,0.000105
888,5.68
2089,0.0025
4047,0.1028
1357,0.072
1839,0.117
629,4.6
348,1.7
3155,4.17
214,0.00829
3401,8.78
1685,1.5
3172,0.7153
1879,0.0
4318,6.4
826,0.0031
2784,9.2
4450,3.4
3756,13.8
3652,0.062479999999999994
2585,0.075
3213,2.81
4657,0.0023
2855,6.3
2455,0.06538
3212,6.71
4624,0.0216
1742,0.000179397016619887
2822,8.4
2109,0.075
3027,6.0
2645,1.1
2420,0.04758
3159,0.009
2808,120.0
1490,3.5
1787,0.0001975
938,29.95
2770,11.6
1425,37.6
855,0.0
3276,0.047
1325,30.0
4629,0.171
2336,0.03201
2419,0.04949
124,0.024
3437,3.46
1679,25.55
3897,109.2
1498,4.1
2722,8.8
2706,9.0
4089,80.7
2505,0.032
542,0.744
4395,2.95
2170,0.04292
1219,0.0
334,0.025
3372,128.05
4158,45.0
4491,11.55
2551,0.0
705,1.9
516,5.0
2869,12.0
325,0.72
2360,0.01631
2712,8.1
3279,0.022
3949,1.06
3421,17.4
682,4.1
111,0.038
4264,7.7
4286,1.8
4013,0.70004
83,1.0
858,4.3
2905,0.00156
1422,16.8
4320,2.3
2908,0.0035
3994,1.5
4539,0.1106
4631,0.025
4169,31.71
1263,0.052
1289,0.058
