,Product titer (g/L)
369,2.05
108,0.0
3519,3.3
1654,3.9
204,0.12036
3404,5.56
1565,0.095
4117,0.0663
958,5.4
3712,15.0
817,10.2
2861,6.2
1333,4.71
410,2.0
1151,1.1
2001,5.16
427,1.55
1535,14.6
2934,3.2
1489,3.2
308,0.2598
2795,29.55
266,2.85
1576,18.0
1408,2.6
2700,4.2
3118,0.1768
2212,0.13202
4187,57.15
1598,24.0
2617,0.3727
3111,0.0521
745,0.3
93,0.82
1273,0.051
4246,36.6
3359,0.542
715,0.0
533,0.0949
1495,2.278
3092,1.3
2432,0.05516
1944,0.0149
3528,6.0
2061,0.0062
1456,4.5
815,4.0
777,5.7
3129,2.0
2154,0.00033
1180,3.6
3985,102.5
2676,65.0
4678,0.082
4150,5.0
845,7.5
4625,0.0378
4359,1.84
2911,0.0
2344,0.04524
4095,20.4
486,0.0
3858,2.0
2618,0.4553
88,0.26
4419,0.59353
2256,0.1355
4453,2.0
2216,0.17422
382,1.9
3599,1.4
136,0.32
4477,11.73
1816,0.898
198,0.11855
2929,35.0
2150,0.00897
232,2.21
3253,0.1394
1202,0.0015
2939,3.25
1520,39.9
770,8.0
766,156.9
3803,6.68
97,0.59
665,3.6
3085,1.78
1358,0.02
4392,1.18
3481,7.0
4255,19.3
2394,0.00748
261,4.92
1188,0.00547
574,0.03745
1660,16.22
2465,0.01186
4157,57.15
1195,0.0051
1481,3.0653
2345,0.052
50,0.029
2447,0.02665
1633,4.76
1499,4.35
2723,9.0
126,0.024
2343,0.02583
1608,45.5
3244,1.4132
84,4.1
3446,8.47
2263,0.02487
3687,51.8
1271,0.058
4675,0.4869
3281,0.097
146,0.004
3353,0.413
500,3.88
4051,0.3536
3629,5.0
81,9.1
1174,31.86
1953,0.11
1222,0.035
2335,0.08862
3729,12.2
680,3.35
487,0.0
2725,53.5
3552,0.205
3564,0.1
3237,0.02
3988,10.38
1396,3.696
884,0.0
928,16.56
2509,1.27
679,3.4
1149,0.7
419,3.2
2363,0.05104
1397,3.4
4405,0.59353
2005,0.0
4029,49.8
697,0.9
1980,0.00018
2164,0.0
2634,1.2
2251,0.00462
2914,21.0
